Model,Accuracy,Precision,Recall,F1,ROC-AUC,Window,ArtifactCondition,Category,Variant,N_Features
Logistic Regression,0.6158906882591093,0.5380681818181818,0.5732445520581114,0.5550996483001173,0.6564498236656491,Analysis_Window,Raw,Frequency Band (Isolate),Only Alpha,448
SVM,0.5384615384615384,0.4479733817301875,0.44824455205811137,0.4481089258698941,0.5524386119591536,Analysis_Window,Raw,Frequency Band (Isolate),Only Beta,128
Logistic Regression,0.5694585020242915,0.4819803421914816,0.400726392251816,0.43761361758387046,0.5763057295504791,Analysis_Window,Raw,Frequency Band (Isolate),Only Beta,128
SVM,0.5560475708502024,0.4454497072911123,0.25332929782082325,0.3229789697086629,0.5071037740814822,Analysis_Window,Raw,Frequency Band (Isolate),Only Gamma,128
Logistic Regression,0.5428896761133604,0.4381752701080432,0.33141646489104115,0.3773910046527658,0.532671531213812,Analysis_Window,Raw,Frequency Band (Isolate),Only Gamma,128
SVM,0.6231022267206477,0.5475841874084919,0.5659806295399515,0.5566304509599643,0.6441536938098748,Analysis_Window,ICA_Cleaned,Baseline (Band),Full Band Feature Set,1216
Logistic Regression,0.6084261133603239,0.5497382198952879,0.3495762711864407,0.42738205365402404,0.609828995157385,Analysis_Window,ICA_Cleaned,Baseline (Band),Full Band Feature Set,1216
SVM,0.614498987854251,0.5374744823563721,0.5578087167070218,0.5474528442002079,0.6414567322876092,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Delta,1088
Logistic Regression,0.6069078947368421,0.5512753774076002,0.32052058111380144,0.40535885167464114,0.6080711785451101,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Delta,1088
SVM,0.6123481781376519,0.5361663652802894,0.5384382566585957,0.5372999093929326,0.6320127118644068,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Theta,832
Logistic Regression,0.5984311740890689,0.535059331175836,0.30024213075060535,0.3846452113222179,0.6052419991578062,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Theta,832
SVM,0.5599696356275303,0.4739520958083832,0.47911622276029053,0.4765201685731487,0.5685851142225498,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Alpha,768
Logistic Regression,0.5713562753036437,0.4829821717990275,0.36077481840193704,0.41302841302841303,0.5709262817138646,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Alpha,768
SVM,0.6109564777327935,0.5334306569343066,0.5529661016949152,0.5430227374052609,0.6332577771344352,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Beta,1088
Logistic Regression,0.600835020242915,0.5315544260906395,0.37984261501210653,0.44307149161518095,0.6044323086640699,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Beta,1088
SVM,0.6146255060728745,0.5361547085201793,0.5789951573849879,0.5567520372526193,0.6393170333719339,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Gamma,1088
Logistic Regression,0.5853997975708503,0.5054545454545455,0.3786319612590799,0.432946876622253,0.5937791478050322,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Gamma,1088
SVM,0.531503036437247,0.43591390941214264,0.4107142857142857,0.4229390681003584,0.5205424584166755,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Delta,128
Logistic Regression,0.5296052631578947,0.4476214574898785,0.535411622276029,0.4875964718853363,0.5390171991788609,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Delta,128
SVM,0.5387145748987854,0.449764982373678,0.4633777239709443,0.4564698867024448,0.5455547294452048,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Theta,384
Logistic Regression,0.5478238866396761,0.4653134635149024,0.5481234866828087,0.5033351862145636,0.5714345589009369,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Theta,384
SVM,0.5914726720647774,0.5106868053576518,0.5423728813559322,0.5260531337149567,0.6086992051794926,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Alpha,448
Logistic Regression,0.5743927125506073,0.49221991701244816,0.5744552058111381,0.5301675977653632,0.6109258211390672,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Alpha,448
SVM,0.527834008097166,0.42932628797886396,0.3934624697336562,0.41061276058117496,0.5190693099273608,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Beta,128
Logistic Regression,0.5231528340080972,0.42273180458624127,0.38498789346246975,0.4029779819420244,0.5135724813138225,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Beta,128
SVM,0.5330212550607287,0.43632773938795655,0.4013317191283293,0.41809869147091283,0.5191953100326351,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Gamma,128
Logistic Regression,0.5318825910931174,0.42810457516339867,0.35684019370460046,0.3892373720699901,0.5206882961364354,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Gamma,128
